Surficial Material Name, CoarseSediments
"Alluvial sediments, thick",1
"Alluvial sediments, thin",1
Basaltic and andesitic volcanic rocks,0
Calcareous biological sediments,0
"Coastal zone sediments, mostly fine-grained",0
"Coastal zone sediments, mostly medium-grained",1
Colluvial and alluvial sediments,1
Colluvial sediments and loess,1
Colluvial sediments and residual material,1
"Colluvial sediments, discontinuous",1
"Colluvial sediments, thin",1
Eolian sediments on southern High Plains,1
"Eolian sediments, mostly dune sand, thick",1
"Eolian sediments, mostly dune sand, thin",1
"Eolian sediments, mostly loess, thick",1
"Eolian sediments, mostly loess, thin",1
"Glacial till sediments, mostly clayey, discontinuous",0
"Glacial till sediments, mostly clayey, thick",0
"Glacial till sediments, mostly clayey, thin",0
"Glacial till sediments, mostly sandy, discontinuous",0
"Glacial till sediments, mostly sandy, thin",0
"Glacial till sediments, mostly silty, discontinuous",0
"Glacial till sediments, mostly silty, thick",0
"Glacial till sediments, mostly silty, thin",0
"Glaciofluvial ice-contact sediments, mostly sand and gravel, discontinuous",1
"Glaciofluvial ice-contact sediments, mostly sand and gravel, thick",1
"Glaciofluvial ice-contact sediments, mostly sand and gravel, thin",1
Lacustrine sediments,1
"Organic-rich muck and peat, thick",0
"Organic-rich muck and peat, thin",0
Playa sediments,0
"Proglacial sediments, mostly coarse-grained, discontinuous",1
"Proglacial sediments, mostly coarse-grained, thick",1
"Proglacial sediments, mostly coarse-grained, thin",1
"Proglacial sediments, mostly fine grained, discontinuous",0
"Proglacial sediments, mostly fine grained, thick",0
"Proglacial sediments, mostly fine grained, thin",0
Residual materials developed in alluvial sediments,0
"Residual materials developed in bedrock, discontinuous",0
"Residual materials developed in bedrock, thin",0
"Residual materials developed in bedrock, with alluvial sediments, discontinuous",0
"Residual materials developed in bedrock, with alluvial sediments, thin",0
"Residual materials developed in carbonate rocks, discontinuous",0
"Residual materials developed in carbonate rocks, thin",0
Residual materials developed in fine-grained sedimentary rocks,0
Residual materials developed in igneous and metamorphic rocks,0
"Residual materials developed in sedimentary rocks, discontinuous",0
"Residual materials developed in sedimentary rocks, thin",0
Rhyolitic volcanic rocks,0
Water,0
